name,lat,lon,dgis_id,dgis_match_name,dgis_address,dgis_point_lat,dgis_point_lon,dgis_general_rating,dgis_general_review_count,dgis_general_review_count_with_stars,dgis_org_rating,dgis_org_review_count,dgis_rating_raw,dgis_review_count_raw
Com,55.76828,37.644618,7E+16,"Com 1989, кафе вьетнамской кухни","Мясницкая улица, 46 ст1",55.768263,37.644684,3.4,7,12,4.5,164,,
Шоколадница,55.757364,37.631644,4.50413E+15,"Шоколадница, кофейня","улица Маросейка, 3/13 ст1",55.757378,37.63158,3.2,282,574,3.2,3191,3.3,8
Кофе Хауз,55.757643,37.658665,7E+16,"Sweet lavka, магазин азиатских сладостей","улица Земляной Вал, 33",55.757617,37.658685,4,13,21,3.7,88,,
Алтаргана,55.767346,37.652294,4.50413E+15,"Алтаргана, кафе","Садовая-Черногрязская улица, 3Б ст1",55.767331,37.652387,4.6,151,252,4.6,151,3,5
Буржуй,55.774863,37.67189,4.50413E+15,"Буржуй, свадебная площадка","Нижняя Красносельская улица, 40/12 к8",55.774832,37.672039,4.3,11,29,4.7,24,5,1
Kalabasa,55.762531,37.679773,7E+16,"Kalabasa, ресторан и кондитерская","набережная Академика Туполева, 15 к26",55.762569,37.679773,5,574,16383,5,574,5,2
Погребок,55.761781,37.634187,,,,,,,,,,,,
Кафе на Басманной,55.768943,37.668711,4.50413E+15,"На Басманной, кафе","Старая Басманная улица, 34",55.768962,37.668699,5,37,40,5,37,,
БлинБери,55.764734,37.639685,7E+16,"БлинБери, блинная быстрого обслуживания","Чистопрудный бульвар, 1а",55.764762,37.6397,3.8,9,15,4.5,373,,
Тбилисо,55.768274,37.679352,7E+16,"Тбилисо, хинкальная","Бауманская улица, 58/3 ст2",55.768326,37.67944,4,37,48,3.9,120,5,1
Surf Coffee,55.762409,37.634897,7E+16,"Лавка Счастья, магазин кондитерских изделий","Мясницкая улица, 13 ст3",55.762633,37.63465,4.3,3,6,4.2,23,,
Чайная высота,55.759955,37.64798,4.50413E+15,"Чайная высота, дом чая и мороженого","улица Покровка, 27 ст1",55.760022,37.647897,4.8,66,269,4.8,107,4.5,40
Black Milk,55.762112,37.642506,7E+16,"Black milk, кофейня","Чистопрудный бульвар, 12 к4",55.762121,37.642627,4.8,51,70,4.9,100,5,3
Булка,55.759546,37.646376,4.50413E+15,"Булка, ресторан-пекарня","улица Покровка, 19",55.759532,37.646441,4.4,102,183,3.7,183,4.4,27
Бейрут,55.764267,37.653134,4.50413E+15,"Бейрут, кафе","улица Машкова, 22",55.764258,37.653183,4.6,52,66,4.6,52,4.1,7
Prime,55.761639,37.658445,4.50413E+15,"Prime, кафе","улица Земляной Вал, 9",55.762126,37.658796,4.7,18,46,4.6,1505,5,2
Кафе-столовая,55.776492,37.694608,,,,,,,,,,,,
Frank by Баста,55.762827,37.635186,7E+16,"Frank by Баста, реберная","Мясницкая улица, 24",55.762841,37.635262,4.9,3389,37556,4.9,24844,,
Брусника,55.757627,37.636339,4.50413E+15,"Брусника, кафе-кулинария","улица Маросейка, 8",55.757636,37.636436,4.4,205,351,4.5,1521,4.1,46
Николай,55.764477,37.657061,4.50413E+15,"Николай, бар-буфет","Старая Басманная улица, 5 ст1",55.764465,37.657073,4.7,34,42,4.7,95,4.2,6
Maestrello,55.758775,37.645873,7E+16,"Pizza Maestrello, кафе-пиццерия","улица Покровка, 16",55.758804,37.645846,4.8,225,445,4.8,451,4.6,16
Рамен Клаб,55.760852,37.632489,4.50413E+15,"Рамен-клаб, раменная","Мясницкая улица, 16",55.760869,37.632531,4.2,94,124,3.6,199,4.3,14
Волконский,55.765075,37.638946,,,,,,,,,,,,
Kiosk 1936,55.761946,37.642661,7E+16,"kiosk 1936, кафе","Чистопрудный бульвар, 12 к4",55.761982,37.642774,4.7,99,218,4.7,99,,
КК 12/10,55.761911,37.635784,,,,,,,,,,,,
Beats & Brew,55.754999,37.667156,7E+16,"Beats&Brew, кофейня","4-й Сыромятнический переулок, 3/5 ст3",55.755012,37.667209,5,5,7,5,5,,
Академия вкуса,55.769155,37.672822,,,,,,,,,,,,
Месье Круассан,55.770846,37.678783,4.50413E+15,"Месье круассан, кафе","Бауманская улица, 42",55.770892,37.678858,3.9,54,67,3.9,54,4,4
Bubble Mania,55.757648,37.636641,7E+16,"Bubble point, кофейня","улица Маросейка, 8",55.757643,37.636561,5,1,1,5,1,,
Patisserie Francois Bodrero,55.757703,37.636949,7E+16,"Bodrero, кондитерская","улица Маросейка, 10/1 ст1",55.757757,37.637146,3.7,55,67,4.2,384,3.3,3
Stolovaya,55.761887,37.652025,7E+16,Stolovaya,"улица Покровка, 38 ст5",55.761902,37.652148,4.9,31,68,4.9,28,,
Убежище,55.761141,37.637551,4.50413E+15,"Убежище, антикафе","Архангельский переулок, 7 ст1",55.761141,37.63767,4.9,225,241,4.8,627,4.7,30
Pho U,55.771569,37.68231,7E+16,"Pho u, кафе вьетнамской уличной еды","Ладожская улица, 7",55.771574,37.682387,3.2,34,40,3.3,77,5,1
Меркато,55.768559,37.659399,,,,,,,,,,,,
Котиссимо,55.770043,37.665554,7E+16,"Котиссимо, котокафе","Новая Басманная улица, 31 ст1",55.770067,37.665605,4.7,68,104,4.7,68,3.5,2
Кофепровод,55.758697,37.654213,7E+16,"Кофепровод, кофейня","Яковоапостольский переулок, 9 ст1",55.758727,37.654335,4.2,24,26,4.2,24,3.8,6
Латте,55.767316,37.660138,7E+16,"Мишки любят пиццу, кафе",,55.767445,37.659698,,,,,,,
Главпирог,55.768555,37.684233,7E+16,"Главпирог, кафе-пекарня","Старокирочный переулок, 16/2 ст1",55.768582,37.684322,4.1,11,13,4.2,56,5,2
Поварская лавка,55.761363,37.683465,,,,,,,,,,,,
Farro,55.758452,37.639324,,,,,,,,,,,,
Хинкали Point,55.754601,37.637679,7E+16,"Хинкали point, кафе грузинской кухни","улица Забелина, 1",55.754591,37.637758,4.5,307,363,4.8,709,4.4,16
Парос,55.771766,37.673891,4.50413E+15,"Парос, кафе","Спартаковская улица, 8",55.771775,37.673823,4.3,33,53,4.3,33,5,2
Don Giulio Pasticceria,55.760077,37.648651,7E+16,"Don Giulio, кафе-лавка итальянских продуктов","улица Покровка, 27 ст1",55.760049,37.648586,4.4,33,44,4.4,33,5,1
Папа Вейдер,55.75924,37.632436,7E+16,"Папа Вейдер, кафе-клуб","Большой Златоустинский переулок, 3/5 ст1",55.759197,37.632506,4.3,105,187,4.3,105,3.9,16
Питербургер,55.771469,37.679583,7E+16,"Питербургер, бургерная","улица Фридриха Энгельса, 3-5 ст1",55.771494,37.679594,4.4,137,263,4.6,206,4.3,10
Scrocchiarella,55.758679,37.639607,7E+16,"Scrocchiarella, римская пиццерия","улица Покровка, 1/13/6 ст2",55.758695,37.639672,4.5,80,103,4.2,139,4.4,18
Кулинарная лавка братьев Караваевых,55.761243,37.632693,7E+16,Кулинарная лавка братьев Караваевых,"Мясницкая улица, 18 ст1",55.761269,37.632811,4.5,170,340,4,674,3.5,2
Coffee Like,55.778645,37.690534,7E+16,"ВкусВилл, кофейный автомат","Переведеновский переулок, 18 ст4",55.779258,37.689783,,,,,,,
Хвоя,55.766551,37.660815,,,,,,,,,,,,
Буфет Паштет,55.760781,37.651257,7E+16,"Волшебная арфа, ресторан","Лялин переулок, 3 ст3",55.760385,37.651644,5,4,5,5,4,,
Чайных Дел Мастерская,55.760956,37.635507,7E+16,"Чайных дел мастерская, чайный клуб","Армянский переулок, 3-5 ст10",55.760869,37.635802,4.7,77,125,4.7,77,4.6,9
Paella Catalana,55.752173,37.669696,7E+16,"Paella Catalana, ресторан","Нижняя Сыромятническая улица, 10 ст4",55.752184,37.669636,4.5,36,43,4.5,36,,
Свои люди,55.774711,37.68619,,,,,,,,,,,,
FOB's,55.763465,37.642894,,,,,,,,,,,,
Даблби,55.757959,37.658444,,,,,,,,,,,,
IWant,55.772413,37.673045,,,,,,,,,,,,
Burger Heroes,55.757356,37.634036,7E+16,"Burger Heroes, бургер-бар","улица Маросейка, 4/2 ст1",55.757345,37.63409,4.6,151,300,4.1,1200,4.7,9
Магнолия,55.7582,37.6393,7E+16,"Магнолия, супермаркет","улица Покровка, 2/1 ст1",55.758114,37.638884,3.4,40,72,4.3,7348,4,1
Токмакоff,55.765109,37.670254,,,,,,,,,,,,
Грамотный Кофе,55.760131,37.646793,7E+16,"Полдень, кофейня","Чистопрудный бульвар, 23 ст2",55.760524,37.647204,4.1,82,154,4.1,82,,
OneBucksCoffee,55.771413,37.68234,7E+16,"Cofix, кофейня","Ладожская улица, 4/6 ст4",55.771405,37.68202,4.6,47,126,3.8,6954,4.7,3
Caffein Lab,55.781829,37.696767,7E+16,"КофеинЛаб, кофейня","Большая Почтовая улица, 36 ст9",55.781034,37.69726,4.5,16,19,4.5,16,,
Financier,55.77443,37.673651,7E+16,"Financier, кафе-кондитерская","Нижняя Красносельская улица, 35 ст50",55.77443,37.673691,3.9,11,13,3.9,11,,
Эль Кафе,55.759461,37.665837,7E+16,"Эль кафе, кофейня","Нижний Сусальный переулок, 5 ст19",55.759514,37.665979,4.7,21,35,4.4,65,4.9,8
OMG!Coffee,55.760494,37.66409,7E+16,"Дринкит, кофейня","Нижний Сусальный переулок, 5 ст9",55.760656,37.663699,4.1,10,16,4.6,802,,
Вкус внутри,55.781962,37.696807,,,,,,,,,,,,
Токпокки,55.767455,37.679489,,,,,,,,,,,,
That place,55.761558,37.642981,7E+16,"That Place, кофейня","Чистопрудный бульвар, 12 к4",55.761596,37.64303,4.7,30,63,4.7,30,,
Coffee&Milk,55.772491,37.676473,7E+16,Кофе класс,"Бауманская улица, 32 ст1",55.772493,37.677999,5,4,5,5,4,,
West 4,55.774903,37.670341,,,,,,,,,,,,
Cofix,55.772666,37.678691,7E+16,"Cofix, кофейня","Бауманская улица, 33/2 ст1",55.772638,37.678774,4.5,53,197,3.8,6954,,
Сыр & кофе,55.753397,37.643296,7E+16,"Сыр&кофе, кафе-магазин","Хитровский переулок, 3/1 ст4",55.753382,37.643182,4.7,55,77,4.7,55,,
Общага,55.763397,37.660807,4.50413E+15,"Московский государственный университет геодезии и картографии, общежитие №1","Гороховский переулок, 4 ст4",55.76356,37.660945,4.3,4,8,3.7,6,5,1
Школьник,55.761725,37.65677,7E+16,"Школьник, кофейня","улица Земляной Вал, 12/7 ст1",55.761731,37.656844,4.2,31,48,4.2,31,,
Les,55.776613,37.674643,,,,,,,,,,,,
PhoBo,55.766659,37.677863,,,,,,,,,,,,
WakeCup Coffee,55.752726,37.66876,7E+16,"Wakecup, кофейня","Нижняя Сыромятническая улица, 10 ст12",55.75263,37.668847,4,6,8,4.4,12,,
Другая кофейня,55.766397,37.662572,7E+16,"Другая, кофейня","Старая Басманная улица, 21/4 ст2",55.766463,37.662678,4.9,15,29,4.9,15,,
Кофик,55.763018,37.679193,,,,,,,,,,,,
Jeffrey's Coffee,55.77134,37.683047,7E+16,"Jeffrey`s coffee, тайм-кофейня","Ладожская улица, 8",55.771344,37.682765,4.4,15,24,4.7,17,4.6,8
Bloom-n-brew,55.774651,37.673291,7E+16,"Bloom-n-brew, кофейня","Нижняя Красносельская улица, 35 ст50",55.774688,37.673318,4.4,47,88,4.4,142,4.1,8
Svoё cafe,55.776606,37.699999,,,,,,,,,,,,
Дела кофейные,55.762568,37.648218,7E+16,"Дела кофейные, кофейня","улица Чаплыгина, 16",55.762592,37.648267,2.7,6,7,2.7,6,,
Casa Leone,55.756638,37.632365,7E+16,"Casa Leone, итальянское кафе-джелатерия","Лубянский проезд, 15 ст2",55.756563,37.632467,4.9,147,2516,4.9,147,4.7,40
Red Brick,55.755864,37.644066,7E+16,"Red Brick, кафе-бар","Хохловский переулок, 10 ст6",55.75591,37.644088,3.4,4,13,3.4,4,,
Япоkofe,55.762789,37.654527,,,,,,,,,,,,
Грабли,55.753779,37.637814,7E+16,"Грабли, фуд-бар","улица Солянка, 1/2 ст1",55.753727,37.637771,4.4,295,490,3.9,1990,4.4,26
Котофейня,55.757464,37.637162,7E+16,"Котофейня, антикафе","улица Маросейка, 10/1",55.757439,37.637199,4.9,284,363,4.9,355,4.6,10
Грамотный кофе,55.756973,37.653164,7E+16,"Чашка настоящего, кофейня","Подсосенский переулок, 17",55.757163,37.652615,4.6,17,19,4.6,17,,
Пересвет,55.755974,37.655552,,,,,,,,,,,,
Гнездо,55.760129,37.651049,4.50413E+15,"Гнездо, антикафе","Лялин переулок, 8 ст2",55.760046,37.651018,4.9,281,304,4.8,627,4.7,71
ABC coffee roasters,55.759009,37.642162,7E+16,"Abc Coffee Roasters, кофейня","улица Покровка, 7/9-11 ст1",55.759035,37.642269,4.6,78,194,4.6,530,,
Буфетрина,55.753062,37.671029,7E+16,"Буфетрина. 2, кофейня","Нижняя Сыромятническая улица, 11 к1",55.75307,37.671024,5,1,1,4.5,22,,
Чихо,55.752858,37.669389,7E+16,"Chiho, китайская закусочная","Нижняя Сыромятническая улица, 10 ст8",55.752893,37.669423,4.3,42,73,4.4,762,,
Пицца Паоло,55.759714,37.659711,,,,,,,,,,,,
Мох / Волна,55.75215,37.668951,7E+16,"Мох, веганское кафе","Нижняя Сыромятническая улица, 10 ст7",55.752187,37.668932,4.4,95,124,4.4,95,,
Lancheria,55.752032,37.670161,7E+16,"Lancheria, гастробистро","Нижняя Сыромятническая улица, 10 ст4",55.752096,37.670108,4.1,21,33,4.1,21,,
Гоген,55.753225,37.667551,7E+16,"Гоген, кафе","Нижняя Сыромятническая улица, 10 ст10",55.753261,37.667517,3.3,68,123,3.3,68,1.7,3
Джи Пи Вингс,55.767898,37.646767,,,,,,,,,,,,
Red Black Family,55.762007,37.648933,,,,,,,,,,,,
Фо Вьет,55.765369,37.63946,7E+16,"Фо Вьет, кафе вьетнамской кухни","Мясницкая улица, 32 ст2",55.765358,37.639639,4.9,8,13,4.9,27,,
Инсайт,55.767405,37.650868,,,,,,,,,,,,
Uon Coffee,55.761328,37.656985,7E+16,Кофейня,"улица Земляной Вал, 14-16 ст1",55.760941,37.657057,5,2,2,5,2,,
Senti Menti,55.754345,37.637593,7E+16,Senti Menti,"улица Солянка, 1/2 ст1",55.754297,37.637625,4.3,52,111,4.3,52,,
On Sight,55.758772,37.647514,7E+16,"On Sight, летнее кафе","улица Покровка, 20/1",55.758788,37.647493,5,5,10,5,5,,
smart_cafe,55.776103,37.679032,7E+16,"smart day, кофейня","Спартаковская площадь, 16/15 ст2",55.776147,37.679044,4.6,36,62,4.6,36,,
Ладо,55.762802,37.637411,7E+16,"Ладо, ресторан-бар","Кривоколенный переулок, 9 ст2",55.762842,37.637317,4.9,277,5832,4.9,277,5,1
Ни свет ни заря,55.762156,37.651801,7E+16,"Ни свет ни заря, кофейня","улица Покровка, 41 ст1",55.762221,37.651991,4.4,64,101,4.7,67,4,1
Лепим и варим,55.757728,37.634997,7E+16,"Лепим и варим, пельменная","улица Маросейка, 9/2 ст1",55.757735,37.635004,4.6,140,198,4.3,899,5,4
Jeffreys coffeeshop,55.754081,37.649733,7E+16,"Coffee master, экспресс-кофейня самообслуживания","Дурасовский переулок, 9",55.754822,37.651137,,,,,,,
Охотка,55.757533,37.63666,7E+16,"Охотка, кафе быстрого питания","улица Маросейка, 8",55.757506,37.636702,4.1,54,75,4.4,99,,
Film.bar,55.761635,37.640484,,,,,,,,,,,,
Coffee Cona,55.754442,37.636498,7E+16,"Concerto, автомат по продаже кофе","Большой Спасоглинищевский переулок, 14",55.754653,37.636146,,,,,,,
Hav.Palass,55.764696,37.653935,,,,,,,,,,,,
Тхань,55.772401,37.664266,7E+16,"Тхань, кафе","Новорязанская улица, 25 ст1",55.772414,37.664261,4.7,57,70,4.8,97,5,1
Дринкит,55.760622,37.663753,7E+16,"Дринкит, кофейня","Нижний Сусальный переулок, 5 ст9",55.760656,37.663699,4.1,10,16,4.6,802,,
Corner Coffee,55.755079,37.64779,7E+16,"Corner coffee roasters, кофейня","Покровский бульвар, 14/6",55.755098,37.647831,3.9,21,35,3.9,21,,
CofeFest,55.775743,37.671802,,,,,,,,,,,,
Taco Time,55.768271,37.684103,7E+16,"Taco Time, гриль-бар мексиканской еды и пива","Старокирочный переулок, 16/2 ст1",55.768527,37.684295,4.5,31,46,4.5,31,,
Старик Хинкалыч,55.767646,37.646708,7E+16,"Старик Хинкалыч, хинкальная","Большой Козловский переулок, 3/2",55.767685,37.646819,4.3,64,150,4.3,1659,1,1
Kitsune,55.768416,37.684169,7E+16,"Kitsune, японская кофейня","Старокирочный переулок, 16/2 ст1",55.76846,37.684263,5,1,1,5,1,,
Сыто Piano,55.758645,37.641482,7E+16,"Сыто Пьяно, кафе","улица Покровка, 4 ст1",55.758664,37.641529,3.4,100,149,3.5,631,,
Загорами,55.773945,37.681821,7E+16,"Zagorami, ресторан","Бакунинская улица, 14 ст1",55.773924,37.681921,4.4,75,108,4.4,75,,
Stim,55.776047,37.678289,7E+16,"Stim, кофейня","Бауманская улица, 15 к4",55.776093,37.678424,4.4,82,140,4.4,82,4.2,5
Crosby Coffee,55.773507,37.665366,7E+16,"Crosby Coffee, кофейня","Ольховская улица, 4 к1",55.773519,37.665362,5,8,10,4.6,86,,
Вспышка,55.775998,37.672458,7E+16,"Вспышка, кофейня","Нижняя Красносельская улица, 35 ст2",55.775988,37.672225,4.7,60,72,4.7,60,4.8,14
