name,lat,lon,dgis_id,dgis_match_name,dgis_address,dgis_point_lat,dgis_point_lon,dgis_general_rating,dgis_general_review_count,dgis_general_review_count_with_stars,dgis_org_rating,dgis_org_review_count,dgis_rating_raw,dgis_review_count_raw
Шашлычок,55.77715,37.674006,7E+16,"Шашлычок, кафе быстрого обслуживания","Нижняя Красносельская улица, 35 ст52",55.777212,37.674043,4.7,56,75,4.7,56,,
Pear-6,55.754027,37.650169,,,,,,,,,,,,
Лунго,55.767341,37.650634,,,,,,,,,,,,
Пороселло,55.770781,37.678795,7E+16,"Пороселло, кафе-бар","Бауманская улица, 42",55.770826,37.678874,4.6,98,142,4.6,170,5,1
SeDelice,55.768015,37.647678,7E+16,"SeDelice, французская пекарня","Хоромный тупик, 2/6",55.768055,37.647803,4.5,28,56,4.1,2475,,
Fettucciamo,55.760892,37.632377,7E+16,"Fettucciamo, кафе","Мясницкая улица, 16",55.76091,37.632427,4.5,61,113,4.4,66,,
StandUp Cafe,55.759099,37.645636,7E+16,"StandUp Cafe, стендап-клуб","улица Покровка, 16",55.759123,37.645649,4.4,62,198,4.4,62,,
Taam hummus bar,55.7598,37.647012,7E+16,"Taam Hummus Bar, кафе израильской кухни","улица Покровка, 21-23/25 ст1",55.759853,37.647031,4.7,32,44,4.8,72,,
Я тебя люля,55.758617,37.645989,7E+16,"Я Тебя Люля, кафе","улица Покровка, 16",55.75868,37.645922,4.7,113,158,4.7,113,5,1
Dragon Bubble Tea,55.771326,37.680693,7E+16,"Dragon, точка безалкогольных напитков","Ладожская улица, 4/6 ст5",55.771325,37.680773,3.7,31,37,2.8,60,,
Tintoretto,55.759922,37.65277,7E+16,"Tintoretto coffee, кофейня","Малый Казённый переулок, 2",55.76,37.65278,4.7,18,26,4.7,18,,
Публика,55.766469,37.663504,7E+16,"Публика, кафе-бар","Старая Басманная улица, 18 ст4",55.766435,37.663657,4.5,47,93,4.5,47,,
Полдень,55.76053,37.647203,7E+16,"Полдень, кофейня","Чистопрудный бульвар, 23 ст2",55.760524,37.647204,4.1,82,154,4.1,82,,
Coffee Moose,55.767537,37.665201,,,,,,,,,,,,
Грот,55.761304,37.680221,,,,,,,,,,,,
Ramen Ten,55.758598,37.641202,7E+16,"Ramen ten, раменная","улица Покровка, 4 ст1",55.758618,37.641262,5,616,14010,4.8,721,5,1
Хинкали у Нино,55.75858,37.641092,7E+16,"Хинкали у Нино, кафе","улица Покровка, 4 ст1",55.75859,37.641106,4.7,87,122,4.7,87,1,1
Kafe,55.778415,37.691007,7E+16,"Ланчиеды, кафе","Бакунинская улица, 74-76 к7",55.778462,37.690998,3.7,3,3,3.7,3,,
Jinju,55.759095,37.642807,7E+16,Jinju bubble tea,"улица Покровка, 9",55.759102,37.642811,4.8,20,25,4.8,169,,
KOM,55.759982,37.652862,7E+16,"Kom Pizza, веганская пиццерия","Малый Казённый переулок, 2",55.760028,37.652886,4.5,42,63,4.5,42,,
РомБаба,55.75871,37.641842,,,,,,,,,,,,
Мегрули,55.763259,37.654662,7E+16,"Мегрули, кафе грузинской кухни","улица Покровка, 48 ст1",55.763277,37.654686,4.4,79,107,4.4,79,,
Kebab Ø18,55.758689,37.645935,7E+16,"Kebab Ø18, кафе","улица Покровка, 16/16 ст1",55.758765,37.64587,5,3,9,5,3,,
J'pan,55.762008,37.634148,7E+16,"J`pan, японское кафе","Мясницкая улица, 22 ст1",55.762043,37.634193,4.9,286,5238,4.6,1640,,
Skrepka!,55.758848,37.639718,7E+16,"Skrepka, кафе","Девяткин переулок, 7",55.75891,37.63975,4.4,23,33,4.4,23,,
CVC,55.762326,37.642219,7E+16,"Cvc, кафе китайской кухни","Чистопрудный бульвар, 10 ст1",55.762309,37.64238,4.7,57,80,4.1,69,,
Vivian's,55.754709,37.634617,7E+16,"Vivian`s Bistro, кафе","Лубянский проезд, 25 ст2",55.754637,37.634671,4.9,681,9906,4.9,681,5,2
Белые Облака,55.758661,37.641562,4.50413E+15,"Белые облака, культурный центр","улица Покровка, 4 ст1",55.758679,37.641612,5,1,11,5,1,,
Papa Grill,55.780489,37.696925,7E+16,"Телестайл, компания","Большая Почтовая улица, 36 ст9",55.78077,37.697542,,,,,,,
Гриль & Сувлаки,55.780501,37.697053,7E+16,"Телестайл, компания","Большая Почтовая улица, 36 ст9",55.78077,37.697542,,,,,,,
Эклерная Клер,55.77241,37.675779,7E+16,"Клер, эклерная","Спартаковская улица, 16",55.772475,37.675899,4.3,43,72,4.3,86,5,4
Soul Coffee,55.765048,37.65425,7E+16,"Gog, хюгге-кофейня","улица Машкова, 21",55.76471,37.653989,5,39,181,4.9,125,,
La Virgen,55.758643,37.629507,7E+16,"La Virgen, гастробар мексиканского стритфуда","Лубянский проезд, 5 ст1",55.758666,37.629652,4.4,206,275,4.4,206,,
Табак & кофейня,55.764933,37.655664,,,,,,,,,,,,
Сахара Экспресс,55.767415,37.665015,7E+16,"Сахара Экспресс, кафе","Старая Басманная улица, 25 ст2",55.767479,37.665054,4.4,14,20,3.9,92,,
Лаванда кофе,55.775135,37.672625,7E+16,"Дринкит, кофейня","Нижняя Красносельская улица, 35 ст48",55.775143,37.672661,5,1,1,4.6,802,,
Mnoga кофе,55.776308,37.676394,7E+16,"Mnoga кофе, кофейня","Бауманская улица, 9",55.776335,37.676455,4.1,21,25,4.1,21,,
Чикен пита,55.78152,37.696797,,,,,,,,,,,,
Ngon,55.776477,37.675013,7E+16,"Pho`Ngon, кафе вьетнамской кухни","Нижняя Красносельская улица, 35 ст59",55.776699,37.674941,5,8,18,4.6,125,,
Картофан,55.776464,37.674977,7E+16,"Картофан, ресторан быстрого питания","Нижняя Красносельская улица, 35 ст59",55.776699,37.674941,2.3,3,3,2.3,3,,
Bels,55.776445,37.674936,,,,,,,,,,,,
Agile,55.768491,37.684204,,,,,,,,,,,,
Bitter drop,55.752255,37.67044,7E+16,"Bitter drop, кофейня","Нижняя Сыромятническая улица, 10 ст4",55.75225,37.670436,4.6,41,92,4.7,55,,
Yumms,55.761375,37.636355,,,,,,,,,,,,
Закуток,55.755026,37.644655,7E+16,Закуток,"Большой Трёхсвятительский переулок, 2/1 ст5",55.755088,37.644911,5,1,1,5,1,,
Эклер,55.75502,37.644804,7E+16,"Эклер, кафетерий-чайная","Большой Трёхсвятительский переулок, 2/1 ст5",55.755088,37.644911,4.8,16,26,4.8,16,,
Квартира 37,55.755076,37.644698,7E+16,"Квартира 37, бар","Большой Трёхсвятительский переулок, 2/1 ст5",55.755088,37.644911,4.8,17,35,4.8,17,,
Аренда,55.755067,37.644432,7E+16,"Аренда, паста-бар","Большой Трёхсвятительский переулок, 2/1 ст5",55.755088,37.644911,4.4,26,51,4.4,26,,
Правда кофе,55.772683,37.67948,7E+16,"Правда Кофе, экспресс-кофейня","Бауманская улица, 33/2 ст3",55.772735,37.679497,4.7,61,162,4.3,2144,,
Чифанька,55.755063,37.642995,,,,,,,,,,,,
Cups & Hugs,55.775726,37.691423,,,,,,,,,,,,
Север-Метрополь,55.771577,37.680457,7E+16,"Север-Метрополь, кондитерская","улица Фридриха Энгельса, 3/5 ст2",55.771591,37.680507,4.7,38,72,4.8,131,,
Korean Chick,55.770217,37.683669,7E+16,"Korean chick, стритфуд-кафе","переулок Посланников, 18 ст1",55.770248,37.683753,3.4,15,24,3.4,108,,
Шоколадное ателье,55.761958,37.652193,4.50413E+15,"Шоколадное Ателье, кофейня-кондитерская","улица Покровка, 40 ст1",55.762033,37.65225,3.7,15,19,3.7,15,4.8,4
Skuratov Coffee,55.775562,37.672176,7E+16,"Skuratov Coffee, кофейня","Нижняя Красносельская улица, 35 ст49",55.775556,37.672066,4.8,45,119,4.8,1277,5,1
Ra'men,55.755278,37.665474,7E+16,"Ra`men, кафе","4-й Сыромятнический переулок, 1 ст3",55.755266,37.665231,4.8,218,310,4.8,1244,,
Ter.mos,55.779939,37.698838,,,,,,,,,,,,
Bodro Coffee,55.760801,37.662489,7E+16,"Bodro Coffee, экспресс-кофейня","Нижний Сусальный переулок, 5 ст2",55.760776,37.662503,4.8,21,52,4.6,711,,
Drozdov coffee,55.755975,37.665069,7E+16,"Drozdov coffee, экспресс-кофейня","4-й Сыромятнический переулок, 1/8 ст8",55.756014,37.665085,,,,5,2,,
Coffee Frisbee,55.756091,37.665549,7E+16,"Coffee frisbee, кофейня","4-й Сыромятнический переулок, 1/8 ст9",55.756109,37.66549,4.2,41,44,4.2,41,,
Circle,55.763984,37.683535,7E+16,"Circle, пиццерия","2-я Бауманская улица, 9/23 ст3",55.763976,37.683578,4.3,9,11,4.3,9,,
Tary,55.775918,37.683238,7E+16,"Tary Moscow, кафе","Переведеновский переулок, 2а",55.775965,37.683293,4.7,76,98,4.7,76,,
Хаусбот кофе,55.777805,37.69152,7E+16,"Правда Кофе, экспресс-кофейня","улица Фридриха Энгельса, 46 ст7",55.776526,37.690956,,,,,,,
Френдс,55.760588,37.649617,7E+16,"Френдс: Джо не делится едой, кафе","улица Покровка, 31 ст1",55.760599,37.649647,4.8,224,314,4.7,594,,
Ø36,55.754983,37.642922,,,,,,,,,,,,
Viet quan,55.758684,37.641713,,,,,,,,,,,,
Siyai,55.757539,37.634969,7E+16,"Siyai coffee, экспресс-кофейня","улица Маросейка, 6-8 ст1",55.757548,37.634882,4.5,37,42,4.8,38,,
Sare art,55.765894,37.647985,,,,,,,,,,,,
Буханка,55.780042,37.700318,7E+16,"Буханка, пекарня","Большая Почтовая улица, 32 к9",55.779962,37.700327,3.7,3,6,3.7,3,,
Smart Coffee lab,55.75806,37.636165,7E+16,"Smart Coffee Lab, кофейня","улица Маросейка, 11 ст4",55.757924,37.636223,4.9,36,54,4.8,77,5,1
Davs tea,55.771571,37.682421,7E+16,"Davs Tea, безалкогольный бар","Ладожская улица, 7",55.771577,37.682439,5,1,3,4.2,46,,
Erna Hoffman,55.764391,37.657596,,,,,,,,,,,,
Pho-house,55.764439,37.657739,7E+16,"Pho-house, вьетнамская закусочная","Старая Басманная улица, 6 ст3",55.764441,37.657737,4.5,19,28,4.5,103,,
Soul.mo,55.763032,37.65768,7E+16,"Soul.mo coffee, кофейня","улица Земляной Вал, 3/1 ст7",55.7631,37.657737,4.4,10,10,4.4,10,,
Nofilters,55.758385,37.629735,,,,,,,,,,,,
"Дайсы, миплы, два стола",55.768843,37.657354,7E+16,"Office360, интернет-магазин мебели","Новая Басманная улица, 13/2 ст1",55.769783,37.657896,,,,,,,
Пита & Сувлаки,55.754884,37.634462,7E+16,"Istanbul, кафе быстрого питания","Солянский проезд, 2/6 ст1",55.753983,37.636639,4.5,5,7,4.5,5,,
Блины у камина,55.759234,37.649196,7E+16,"Блины у камина, блинная лавка","Барашёвский переулок, вл8",55.759245,37.649234,4.2,15,21,4.2,15,,
Ланч плэйс,55.759448,37.63741,7E+16,"Верасы, ресторан","Армянский переулок, 6",55.758892,37.637716,,,3,,,,
Остров Пасхи,55.759838,37.648909,7E+16,"Остров Пасхи, кофейня","улица Покровка, 26/1 ст1",55.759831,37.648919,4.7,25,51,4.7,25,,
Лан Ма,55.758665,37.640216,7E+16,"Лан Ма, кафе","улица Покровка, 3/7 ст1",55.758693,37.640359,4.5,79,106,4.7,83,,
Stars Coffee,55.764679,37.63979,7E+16,"Stars Coffee, кофейня","Чистопрудный бульвар, 1а",55.764701,37.639833,3.7,7,24,4,2621,,
Friends Place,55.773367,37.684039,7E+16,"Friends place, лаундж-бар","улица Фридриха Энгельса, 25 ст3",55.773361,37.68404,4.6,15,18,4.6,15,,
Coffee Time,55.772249,37.664384,7E+16,"Coffee time, кофейня","Новорязанская улица, 25 ст1",55.772256,37.664282,4.7,7,8,4.8,35,,
Bagel,55.756005,37.634724,7E+16,"Bagel, кошерное кафе","Большой Спасоглинищевский переулок, 8 ст8",55.755985,37.634795,4.5,13,17,4.5,13,4.7,3
Rockstar Dogs,55.754022,37.638389,,,,,,,,,,,,
Агадир,55.771217,37.670116,,,,,,,,,,,,
Мастерская,55.755074,37.645491,7E+16,"Craftsman Ekb, салон оптики","Малый Трёхсвятительский переулок, 1 ст3",55.754853,37.645413,,,1,,,,
Салатница,55.779934,37.698579,7E+16,"SimpleWine, винотека","Большая Почтовая улица, 28 к5",55.779445,37.69821,,,2,4.6,797,,
Tricky,55.766849,37.642327,7E+16,"Tricky, китайская лапшичная","Мясницкая улица, 42/2 ст2",55.766855,37.642343,4.4,31,68,4.4,31,,
Самолёт кофе,55.753588,37.638125,7E+16,"Самолет, экспресс-кофейня","улица Солянка, 1/2 ст2",55.753547,37.638177,5,8,21,4.8,19,,
Fibonacci,55.776555,37.675965,7E+16,Fibonacci Coffee&Wine,"Бауманская улица, 7 ст1",55.776495,37.676091,4.8,48,52,4.8,48,,
Хондэ,55.7761,37.678433,7E+16,"Hongdae, к-поп кафе","Спартаковская площадь, 16/15 ст5",55.776181,37.678506,4.9,38,60,4.9,38,,
Арка маркет,55.780249,37.700424,,,,,,,,,,,,
Легенда,55.779659,37.700387,7E+16,"Хинкальная легенда, ресторан","Большая Почтовая улица, 30 ст1 к10",55.779664,37.700321,4.4,24,33,4.4,24,5,1
Coffee Point,55.77477,37.668895,7E+16,"Sweet coffee, кофейня","Нижняя Красносельская улица, 40/12 к2",55.77419,37.668716,5,3,3,5,3,,
Пан круассан,55.761261,37.662809,7E+16,"Пан Круассан, кофейня","Нижний Сусальный переулок, 5 ст1",55.761368,37.662941,4.1,14,49,4.1,518,,
Pir&Rog,55.754872,37.649056,7E+16,"Pir&rog, ресторан осетинских пирогов","Дурасовский переулок, 1 ст1",55.754864,37.649174,4,20,25,4,20,,
Masa Madre,55.754134,37.638672,7E+16,"Masa Madre, пекарня","улица Забелина, 2",55.754093,37.638663,4.6,92,191,4.6,92,,
Shuttle Coffee,55.771839,37.681941,,,,,,,,,,,,
Мама варит кофе,55.758801,37.64237,7E+16,"Мама варит кофе, кофейня-обжарочная","улица Покровка, 8",55.758822,37.642456,4.4,26,52,4.4,42,,
Окофе,55.758847,37.642642,,,,,,,,,,,,
Лицей,55.760228,37.651406,7E+16,"Лицей, пекарня","Лялин переулок, 8 ст2",55.760191,37.651514,4.7,50,87,4.7,50,,
Meteorite,55.76226,37.635475,,,,,,,,,,,,
Много кофе,55.754633,37.644399,7E+16,"Много Кофе, кофейня","Большой Трёхсвятительский переулок, 2/1 ст1",55.75463,37.644333,4.8,27,27,4.8,27,,
Фо Оань,55.757187,37.632194,7E+16,"Фо Оань, кафе вьетнамской кухни","улица Маросейка, 2/15 ст1",55.757226,37.632212,4.7,41,63,4.6,189,,
Kulek,55.758506,37.639516,7E+16,"Kulёk, кафе","улица Покровка, 1/13/6 ст2",55.758533,37.639601,4.9,184,216,4.9,1210,,
Nova,55.759743,37.647647,7E+16,"Nova Bubble Tea, бар безалкогольных напитков","улица Покровка, 25 ст1",55.759766,37.647688,3.8,5,6,4.1,169,,
Мякоть,55.76034,37.662175,7E+16,"Мякоть, гриль-бар","Нижний Сусальный переулок, 5 ст2",55.760316,37.662187,4.6,45,53,4.6,45,,
Amov,55.763486,37.660165,7E+16,"Amov, кофейня","улица Казакова, 7",55.763392,37.660071,4.5,10,14,4.5,10,,
Kokoro,55.75757,37.635479,,,,,,,,,,,,
Lafferia,55.771496,37.686323,7E+16,"Lafferia, кафе","Малая Почтовая улица, 8 ст2",55.771563,37.686377,4.8,14,18,4.8,14,,
Crazy Cook,55.760949,37.650666,7E+16,"Crazy cook, служба доставки","улица Покровка, 34",55.760961,37.650651,,,,,,,
One special,55.760848,37.666366,7E+16,"One special, кофейня","Нижний Сусальный переулок, 5 ст11",55.76087,37.666303,4.8,21,27,4.6,48,,
CoffeeNat,55.760761,37.664151,7E+16,"Сова, кофейня","Нижний Сусальный переулок, 5 ст10",55.760784,37.664201,,,,,,,
Автомойка,55.757443,37.639769,7E+16,Автомойка by Veladora,"Старосадский переулок, 3 ст2",55.757458,37.639673,2.9,9,22,2.9,9,,
Aspeen,55.77141,37.686258,7E+16,Aspeen coffee,"Малая Почтовая улица, 8 ст3",55.771426,37.686372,4.7,4,5,4.7,4,,
Рябчик,55.760697,37.647353,7E+16,"Рябчик, кафе","улица Макаренко, 2/21 ст3",55.760683,37.647371,4.9,367,397,4.9,367,,
Aaark,55.761618,37.649602,7E+16,"aaark, кафе-пекарня","улица Чаплыгина, 20/7",55.761668,37.649629,4.5,125,167,4.5,125,,
Чапа,55.764289,37.645231,7E+16,"Чапа, экспресс-кофейня","улица Жуковского, 1/2/10 ст2",55.764273,37.645141,3.4,13,23,3.4,13,,
Coffee Way,55.769562,37.679116,7E+16,"Coffee Way, экспресс-кофейня","Бауманская улица, 50/12 ст1",55.769714,37.679133,4.9,33,70,4.9,33,,
Sonder Cafe,55.773128,37.680695,7E+16,"Sonder, кафе","Бакунинская улица, 8",55.773175,37.680697,4.8,18,22,4.8,18,,
Культурный код,55.76798,37.679422,7E+16,"Культурный код, кафе","Бауманская улица, 58/25 ст1",55.768097,37.679478,4.6,11,14,4.6,50,,
Москвич,55.757185,37.657213,,,,,,,,,,,,
Коврижечная,55.771765,37.680924,7E+16,"Коврижечная, кофейня","улица Фридриха Энгельса, 7-21",55.771841,37.681082,5,22,22,5,22,,
Local Time,55.773416,37.669739,,,,,,,,,,,,
Fruits & Veges,55.752679,37.66847,4.50413E+15,"Fruits&Veges, веганское кафе","Нижняя Сыромятническая улица, 10 ст12",55.752713,37.668436,4.5,54,60,4.5,54,4.5,12
Кооператив «Чёрный»,55.76002,37.651832,7E+16,"Кооператив чёрный, кофейня","Лялин переулок, 5 ст1",55.760047,37.651825,4.5,80,162,4.5,80,4,5
Столовая СМ-Энерго,55.769485,37.690859,,,,,,,,,,,,
Sito,55.766124,37.66088,7E+16,"Sito, греческое кафе",,55.766221,37.660946,4.5,29,36,4.5,28,,
Кислород,55.767667,37.679393,4.50413E+15,"Кислород, кафе","Бауманская улица, вл58",55.767693,37.679406,3.8,25,31,3.8,25,3.5,4
